date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
,Alameda,County,1685886.0,1.0,1.0,0.0,0.0,347.0,347.0,11.0,11.0,0.0,0.0,0.0,0.0,,
,Alpine,County,1117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Amador,County,38531.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Butte,County,217769.0,0.0,0.0,0.0,0.0,26.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,,
,Calaveras,County,44289.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,California,State,40129160.0,259.0,259.0,8.0,8.0,20498.0,20498.0,1600.0,1600.0,0.0,0.0,0.0,0.0,,
,Colusa,County,22593.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Contra Costa,County,1160099.0,8.0,8.0,0.0,0.0,159.0,159.0,4.0,4.0,0.0,0.0,0.0,0.0,,
,Del Norte,County,27558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,El Dorado,County,193098.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Fresno,County,1032227.0,4.0,4.0,0.0,0.0,1430.0,1430.0,35.0,35.0,0.0,0.0,0.0,0.0,,
,Glenn,County,29348.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Humboldt,County,134098.0,2.0,2.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Imperial,County,191649.0,0.0,0.0,0.0,0.0,13.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,,
,Inyo,County,18453.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Kern,County,927251.0,4.0,4.0,0.0,0.0,131.0,131.0,3.0,3.0,0.0,0.0,0.0,0.0,,
,Kings,County,156444.0,2.0,2.0,0.0,0.0,75.0,75.0,5.0,5.0,0.0,0.0,0.0,0.0,,
,Lake,County,64871.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Lassen,County,30065.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Los Angeles,County,10257557.0,103.0,103.0,1.0,1.0,2234.0,2234.0,210.0,210.0,0.0,0.0,0.0,0.0,,
,Madera,County,160089.0,2.0,2.0,1.0,1.0,102.0,102.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Marin,County,260800.0,2.0,2.0,0.0,0.0,21.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Mariposa,County,17795.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Mendocino,County,88439.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Merced,County,287420.0,1.0,1.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Modoc,County,9475.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Mono,County,13961.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Monterey,County,448732.0,0.0,0.0,0.0,0.0,400.0,400.0,14.0,14.0,0.0,0.0,0.0,0.0,,
,Napa,County,139652.0,1.0,1.0,0.0,0.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Nevada,County,98710.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Orange,County,3228519.0,0.0,0.0,0.0,0.0,6085.0,6085.0,370.0,370.0,0.0,0.0,0.0,0.0,,
,Out of state,County,,,,,,,,,,,,,,,
